date, prices
2020-06-12,36.24
2020-06-15,37.07
2020-06-16,38.26
2020-06-17,37.91
2020-06-18,38.79
2020-06-19,39.72
2020-06-22,40.6
2020-06-23,40.4
2020-06-24,37.91
2020-06-25,38.66
2020-06-26,38.53
2020-06-29,39.67
2020-06-30,39.27
2020-07-01,39.88
2020-07-02,40.57
2020-07-03,.
2020-07-06,40.51
2020-07-07,40.59
2020-07-08,40.91
2020-07-09,39.64
2020-07-10,40.56
2020-07-13,40.06
2020-07-14,40.3
2020-07-15,41.2
2020-07-16,40.74
2020-07-17,40.55
2020-07-20,40.83
2020-07-21,41.76
2020-07-22,41.88
2020-07-23,40.99
2020-07-24,41.23
2020-07-27,41.46
2020-07-28,40.89
2020-07-29,41.13
2020-07-30,39.85
2020-07-31,40.1
2020-08-03,40.83
2020-08-04,41.67
2020-08-05,42.25
2020-08-06,41.93
2020-08-07,41.16
2020-08-10,41.94
2020-08-11,41.53
2020-08-12,42.6
2020-08-13,42.26
2020-08-14,42.05
2020-08-17,42.89
2020-08-18,42.89
2020-08-19,42.91
2020-08-20,42.62
2020-08-21,42.32
2020-08-24,42.44
2020-08-25,43.17
2020-08-26,43.21
2020-08-27,42.88
2020-08-28,42.96
2020-08-31,42.61
2020-09-01,42.76
2020-09-02,42.76
2020-09-03,41.39
2020-09-04,39.69
2020-09-08,36.87
2020-09-09,38.05
2020-09-10,37.25
2020-09-11,37.33
2020-09-14,37.23
2020-09-15,38.29
2020-09-16,40.17
2020-09-17,40.99
2020-09-18,41.09
2020-09-21,39.26
2020-09-22,39.55
2020-09-23,39.92
2020-09-24,40.11
2020-09-25,40.06
2020-09-28,40.47
2020-09-29,39.03
2020-09-30,40.05
2020-10-01,38.51
2020-10-02,36.9
2020-10-05,39.12
2020-10-06,40.52
2020-10-07,39.82
2020-10-08,41.04
2020-10-09,40.44
2020-10-12,39.22
2020-10-13,40.03
2020-10-14,40.86
2020-10-15,40.84
2020-10-16,40.7
2020-10-19,40.69
2020-10-20,41.37
2020-10-21,39.88
2020-10-22,40.46
2020-10-23,39.73
2020-10-26,38.39
2020-10-27,39.34
2020-10-28,37.27
2020-10-29,35.94
2020-10-30,35.64
2020-11-02,36.6
2020-11-03,37.44
2020-11-04,38.97
2020-11-05,38.56
2020-11-06,36.97
2020-11-09,40.05
2020-11-10,41.18
2020-11-11,41.23
2020-11-12,40.9
2020-11-13,39.93
2020-11-16,41.14
2020-11-17,41.24
2020-11-18,41.64
2020-11-19,41.57
2020-11-20,41.99
2020-11-23,42.91
2020-11-24,44.71
2020-11-25,45.58
2020-11-26,.
2020-11-27,.
2020-11-30,45.2
2020-12-01,44.54
2020-12-02,45.23
2020-12-03,45.65
2020-12-04,46.23
2020-12-07,45.72
2020-12-08,45.64
2020-12-09,45.48
2020-12-10,46.76
2020-12-11,46.59
2020-12-14,47.02
2020-12-15,47.58
2020-12-16,47.86
2020-12-17,48.34
2020-12-18,49.04
2020-12-21,47.79
2020-12-22,47.02
2020-12-23,47.94
2020-12-24,48.18
2020-12-28,47.5
2020-12-29,47.85
2020-12-30,48.24
2020-12-31,48.35
2021-01-04,47.47
2021-01-05,49.78
2021-01-06,50.45
2021-01-07,50.63
2021-01-08,52.14
2021-01-11,52.15
2021-01-12,53.08
2021-01-13,52.81
2021-01-14,53.47
2021-01-15,52.25
2021-01-19,52.87
2021-01-20,53.16
2021-01-21,53.0
2021-01-22,52.28
2021-01-25,52.78
2021-01-26,52.61
2021-01-27,52.81
2021-01-28,52.26
2021-01-29,52.16
2021-02-01,53.55
2021-02-02,54.77
2021-02-03,55.67
2021-02-04,56.19
2021-02-05,56.8
2021-02-08,57.95
2021-02-09,58.34
2021-02-10,58.69
2021-02-11,58.22
2021-02-12,59.5
2021-02-16,60.07
2021-02-17,61.09
2021-02-18,60.4
2021-02-19,59.12
2021-02-22,61.67
2021-02-23,61.66
2021-02-24,63.21
2021-02-25,63.43
2021-02-26,61.55
2021-03-01,60.54
2021-03-02,59.7
2021-03-03,61.33
2021-03-04,63.81
2021-03-05,66.08
